UniqueCount	AmbigCount
0	0
0	0
97	379
63	320
114	188
0	0
0	0
0	0
0	0
0	0
0	0
0	1
4	1
4	0
5	0
0	0
0	0
0	0
15	0
3	0
0	0
0	0
0	0
0	0
17	221
0	166
4	190
1	116
15	42
2	9
6	52
0	63
0	0
0	0
2	0
0	31
0	0
0	0
0	0
1	8
0	0
0	0
0	0
0	317
2	358
53	763
1	114
0	550
19	71
2	299
0	100
5	0
14	0
0	329
495	507
0	330
0	150
0	105
0	317
0	234
35	59
2	306
231	2744
3	2655
0	123
37	1
23	805
6	796
2	294
0	213
0	148
1	13
0	1
0	0
0	0
3	6
0	0
0	2422
12	3669
64	648
26	2284
3	325
0	166
254	3544
10	1093
0	0
86	66
0	0
2	3
24	23
0	9
0	23
2	7
0	0
2	1
0	0
22	0
0	0
10	3
113	12
1	9
0	0
0	76
0	160
105	2935
0	45
0	27
0	951
0	2667
2	300
0	1114
2	13
3	323
0	20
0	96
0	430
18	33
0	805
0	0
0	8
0	0
29	69
5	1021
3	1019
0	1017
0	13
1	19
0	706
6	625
0	79
0	1013
0	45
0	55
0	116
0	89
0	0
0	0
0	626
0	0
0	0
0	0
0	0
5	0
614	2972
1	256
0	3
0	2058
0	561
5	135
19	2863
16	2791
0	0
32	6
0	361
0	0
0	0
0	0
16	1
0	0
0	0
0	0
0	0
7	4
0	0
0	0
0	0
0	0
0	461
0	506
0	552
1	445
0	152
1	26
0	191
17	185
0	189
3	3
3	6
14	3
0	21
0	0
0	0
0	0
0	7
0	87
0	0
0	0
0	0
0	37
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
606	12
31	795
7	754
0	40
0	79
5	654
14	1
0	1
5	2
0	1
0	0
2	3256
5254	82
0	0
80	35
0	35
0	4
0	4
0	8
2043	38
0	61
0	0
0	1
0	1
0	62
0	0
0	62
0	62
2	352
2	347
0	365
0	5
0	258
1	301
0	352
0	11
0	31
0	292
10	11
24	44
0	24
0	0
0	128
5	352
0	188
0	182
0	65
0	246
0	196
0	217
0	105
0	122
0	97
0	76
0	55
1	221
0	19
0	211
0	74
0	215
0	102
0	58
0	105
0	217
0	181
8	23
0	74
0	29
3	28
1	22
1	43
0	0
2	10
0	10
0	0
0	0
0	8
1	8
0	4
1	4
1	5
0	0
2	1
0	0
87	1949
0	995
15	1135
0	635
39	1087
3	409
16	276
2	0
0	5
82	362
15	18
0	17
0	80
0	13
2	84
8	93
0	19
0	81
1	18
0	15
2	314
0	15
41	5
0	15
2	9
1	14
0	14
0	6
0	5
0	105
4	5
7	38
2	5
2	68
0	0
1557	1708
0	247
3	286
13	110
1	13
1	1037
0	38
0	135
0	0
0	0
0	1
0	1
10	14
